51747,2024-10-18,Режим работы станции «Горьковская» изменится из-за ремонта,null,<p>Он продлится почти два месяца.</p>,https://kudago.com/spb/news/rezhim-gorkovskoj-izmenitsya-iz-za-remonta/,0,0,0.5
51746,2024-10-18,Из Петербурга в Гатчину отправится «Пушкинская Ласточка»,null,<p>Пассажиры смогут принять участие в викторине.</p>,https://kudago.com/spb/news/pushkinskaya-lastochka-iz-peterburga-v-gatchinu/,0,0,0.5
51744,2024-10-17,Кинематографисты готовят ремейк «Невероятных приключений итальянцев в России»,null,<p>Его снимут совместно с Китаем.</p>,https://kudago.com/all/news/kinematografistyi-gotovyat-remejk/,0,0,0.5
51743,2024-10-17,Появился новый трейлер финального сезона «Аркейна»,null,<p>Трансляцию разобьют на три части.</p>,https://kudago.com/all/news/trejler-finalnogo-sezona-arkejna/,0,0,0.5
51742,2024-10-17,В тизере нового «Уоллеса и Громита» у главных героев неприятности,null,<p>Премьера мультфильма состоится в январе.</p>,https://kudago.com/all/news/v-tizere-novogo-uollesa-i/,0,0,0.5
51741,2024-10-17,Разработаны новые правила поступления в вузы для будущих учителей,null,<p>Они начнут действовать через два года.</p>,https://kudago.com/all/news/razrabotanyi-novyie-pravila/,0,0,0.5
51733,2024-10-17,Путешествие без границ с VK Видео: блоги о необычных маршрутах и лайфхаках для путешествий,null,<p>В приложении VK Видео есть что посмотреть, чем бы вы ни увлекались. Включайте любимых блогеров, шоу, клипы и сериалы, сохраняйте понравившееся, получайте персональные рекомендации. А специально для тех, кто не представляет жизнь без путешествий, мы составили подборку из трёх видеоблогов, авторы которых рассказывают о малоизвестных местах и делятся советами для самостоятельных туристов.</p>,https://kudago.com/all/news/puteshestvie-bez-granits-s-vk/,1,0,0.7310585786300049
51740,2024-10-17,Вышел дебютный трейлер байопика про Александра Пушкина,null,<p>Премьера состоится в День всех влюблённых.</p>,https://kudago.com/all/news/trejler-bajopika-pro-aleksandra-pushkina/,0,0,0.5
51652,2024-10-09,Ветер крепчает в Петербурге,null,<p>Об этом горожан предупреждает МЧС.</p>,https://kudago.com/spb/news/veter-krepchaet-v-peterburge/,0,0,0.5
51649,2024-10-08,Сотни гусиных стай сейчас пролетают над Петербургом,null,<p>Они направляются на юг.</p>,https://kudago.com/spb/news/sotni-gusinyih-staj-sejchas/,0,0,0.5
51647,2024-10-08,Турецкие пастухи требуют от фермеров оплачивать интернет для просмотра TikTok,null,<p>Работодатели соглашаются на их условия.</p>,https://kudago.com/all/news/turetskie-pastuhi-trebuyut-ot/,0,0,0.5
51645,2024-10-08,В Ленобласти спасли раненого лебедя,null,<p>Он идёт на поправку.</p>,https://kudago.com/spb/news/v-lenoblasti-spasli-ranenogo/,0,0,0.5
51644,2024-10-08,В Петербурге идёт установка видеокамер на детских и спортивных площадках,null,<p>Оснастить планируют свыше 300 объектов.</p>,https://kudago.com/spb/news/v-peterburge-idyot-ustanovka/,0,0,0.5
51641,2024-10-08,Трамваи вернулись на Косую линию и Детскую улицу в Петербурге,null,<p>Их трассы меняли из-за строительства продолжения оранжевой линии подземки.</p>,https://kudago.com/spb/news/tramvai-vernulis-na-kosuyu-liniyu/,0,0,0.5
51643,2024-10-08,Москва возглавила рейтинг самых матерящихся городов страны,null,<p>Столица опустилась ниже Дна.</p>,https://kudago.com/all/news/moskva-vozglavila-rejting-samyih/,0,0,0.5
51640,2024-10-08,Эрмитаж откроет филиал в Приморье,null,<p>Через три года.</p>,https://kudago.com/spb/news/ermitazh-otkroet-filial-v/,0,0,0.5
51638,2024-10-08,В Петербурге тестируют новый электробус,null,<p>После окончания испытаний будет принято решение о покупке.</p>,https://kudago.com/spb/news/v-peterburge-testiruyut-novyij/,0,0,0.5
51634,2024-10-07,Нейросеть помогла сделать трейлер игровой версии «Принцессы Мононоке»,null,<p>Его создание обошлось в 745 долларов.</p>,https://kudago.com/all/news/nejroset-pomogla-sozdat/,0,0,0.5
51615,2024-10-04,Смотрим новый трейлер фильма «Паддингтон в Перу»,null,<p>Медвежонок попадает в удивительные истории в поисках тёти.</p>,https://kudago.com/all/news/trejler-filma-paddington-v-peru/,0,0,0.5
51614,2024-10-04,Большой театр теперь продаёт билеты только по паспортам,null,<p>Так организация борется с мошенниками.</p>,https://kudago.com/all/news/bolshoj-teatr-teper-prodayot/,0,0,0.5
51613,2024-10-04,В Нью-Йорке крысам будут давать контрацептивы для сокращения их численности,null,<p>Власти продолжают бороться с нашествием грызунов.</p>,https://kudago.com/all/news/v-nyu-jorke-kryisam-budut-davat/,0,0,0.5
51612,2024-10-04,Эминем станет дедушкой в следующем году,null,<p>О беременности единственной дочери он рассказал в клипе.</p>,https://kudago.com/all/news/eminem-stanet-dedushkoj/,0,0,0.5
51611,2024-10-04,В Михайловском замке откроется выставка рисунков XX века,null,<p>Знаменитые живописцы предстанут с новой стороны.</p>,https://kudago.com/spb/news/v-mihajlovskom-zamke-otkroetsya/,0,0,0.5
51610,2024-10-04,В Калининском районе открылся скейт-парк,null,<p>Здесь можно заниматься разнообразным экстремальным спортом.</p>,https://kudago.com/spb/news/v-kalininskom-rajone-otkryilsya/,0,0,0.5
51604,2024-10-03,В Эрмитаже открылась выставка японских миниатюрных скульптур нэцкэ,null,<p>Зрителям представили 185 экспонатов.</p>,https://kudago.com/spb/news/vystavka-yaponskih-miniatyurnyh-skulptur-necke/,0,0,0.5
51603,2024-10-03,Эрмитаж запускает экскурсии по экспозиции «Костюмы Прекрасной эпохи,null,<p>Гид поможет разобраться, что влияло на европейскую моду много веков назад.</p>,https://kudago.com/spb/news/ermitazh-zapuskaet-ekskursii-po/,0,0,0.5
51602,2024-10-03,На пяти особо охраняемых территориях Ленобласти снизили цены на билеты,null,<p>Особый тариф будет действовать осенью и зимой.</p>,https://kudago.com/spb/news/na-pyati-osobo-ohranyaemyih/,0,0,0.5
51601,2024-10-03,В Сосновом бору заканчивается благоустройство парка на берегу Коваши,null,<p>Он превратился в уютное пространство с уголками для отдыха.</p>,https://kudago.com/spb/news/v-sosnovom-boru-zakanchivaetsya/,0,0,0.5
51710,2024-10-15,В Ленобласти спасают лисицу с переломами передних лап,null,<p>Её ждёт операция.</p>,https://kudago.com/spb/news/v-lenoblasti-vyihazhivayut-lisa-s/,0,0,0.5
51709,2024-10-14,В России могут запретить выступления животных в цирке,null,<p>Закон рассмотрят в ноябре.</p>,https://kudago.com/all/news/v-rossii-mogut-zapretit-vystupleniya-zhivotnyh-v-cirke/,0,0,0.5
51708,2024-10-14,Между Москвой и Петербургом начнёт ходить двухэтажная «Аврора»,null,<p>Её запустят в конце года.</p>,https://kudago.com/all/news/mezhdu-moskvoj-i-sankt-14-10-2024/,0,0,0.5
51707,2024-10-14,Идёт работа над новым сериалом про Штирлица,null,<p>Съёмки могут стартовать следующим летом.</p>,https://kudago.com/all/news/idyot-rabota-nad-novyim-serialom/,0,0,0.5
51706,2024-10-14,Котят нашли в коробке с чипсами,null,<p>Их уже пристроили в хорошие руки.</p>,https://kudago.com/all/news/kotyat-nashli-v-korobke-s-chipsami/,0,0,0.5
51703,2024-10-14,В Петербурге благоустроили берега Верхнего Суздальского озера,null,<p>На территории появилась инфраструктура для маломобильных горожан.</p>,https://kudago.com/spb/news/v-peterburge-blagoustroili/,0,0,0.5
51704,2024-10-14,В октябре можно будет наблюдать суперлуние,null,<p>Оно станет главным и последним в этом году.</p>,https://kudago.com/all/news/v-oktyabre-mozhno-budet-nablyudat/,0,0,0.5
51702,2024-10-14,Одноклассники запускают уникальное научпоп-шоу про садоводство,null,<p>В нём расскажут, как получить высокий урожай при помощи современных технологий.</p>,https://kudago.com/all/news/odnoklassniki-zapuskayut/,0,0,0.5
51701,2024-10-14,В Петербурге и Ленобласти перешли на регулярное отопление,null,<p>В связи с понижением температуры.</p>,https://kudago.com/spb/news/v-peterburge-i-lenoblasti-regulyarnoe-otoplenie/,0,0,0.5
51700,2024-10-14,В Петербурге ждут бабье лето,null,<p>А в Ленобласти снег.</p>,https://kudago.com/spb/news/v-peterburge-zhdut-babe-leto/,0,0,0.5
